review_id,original_text,pre_translated_text,emoji_converted,detected_lang,confidence,translated_text,cleaned_text,post_translated
c135c481-96ac-4eb8-89e2-c67804f39ad6,anek balu,anek balu,anek balu,en,0.478,anek balu,anek balu,anek balu
4de70d77-d88e-4526-a767-2110ee641b0e,best,best,best,en,0.169,best,best,best
dc110ad0-d855-4f1f-a066-a9e91c19d319,good app,gooddood appp,gooddood appp,en,0.266,gooddood appp,gooddood app,gooddood app
562676cc-c3c5-44a6-8fea-f1431804ac23,nice,nice,nice,en,0.839,nice,nice,nice
67fcb5f9-c0bc-4efe-97ac-50291d5898fd,খুব ভালো,খুব good,খুব good,en,0.614,খুব good,good,good
636229e1-5397-4025-9423-6c370129c44a,bhalo app,gooddood appp,gooddood appp,en,0.266,gooddood appp,gooddood app,gooddood app
a96affc0-e648-46b8-a0ac-d51aad160a84,ভালো,good,good,en,0.895,good,good,good
8c9b023d-b2b3-4049-85fe-cf93556cb081,ভালো,good,good,en,0.895,good,good,good
55e9e27e-fb4d-4b8f-897c-eb4071db015b,very helpful apps,very helpappul appps,very helpappul appps,en,0.905,very helpappul appps,very helpappul apps,very helpappul apps
8c1a4b92-1237-4498-8ef9-a5ab13074b39,. kub baje app 32k taka lock kore felse coustomer service take kono support pay nai issa kore besi taka dake lock kore dise personal account,. kub baje appp 32k taka lock kore appelse coustomer serbrotherce take kono supaftert pay no/noti issa kore besi taka dake lock kore dise persono/notl account,. kub baje appp 32k taka lock kore appelse coustomer serbrotherce take kono supaftert pay no/noti issa kore besi taka dake lock kore dise persono/notl account,en,0.234,. kub baje appp 32k taka lock kore appelse coustomer serbrotherce take kono supaftert pay no/noti issa kore besi taka dake lock kore dise persono/notl account,. kub baje app 32k taka lock kore appelse coustomer serbrotherce take kono supaftert pay nonoti issa kore besi taka dake lock kore dise persononotl account,. kub baje app 32k taka lock kore appelse coustomer serbrotherce take kono supaftert pay nonoti issa kore besi taka dake lock kore dise persononotl account
12fea6ed-2620-4a83-8a6d-fc8396809ffa,nice,nice,nice,en,0.839,nice,nice,nice
c359ed97-2286-4f10-9efb-6fc547894503,ok ok ok,ok ok ok,ok ok ok,en,0.921,ok ok ok,ok ok ok,ok ok ok
0ec2dd2a-481e-46b4-a1d7-d336d452ef5e,নাইছ,nice,nice,en,0.839,nice,nice,nice
c1cc1041-5a3a-4cfc-bcfe-418bed248f46,excellent performance and very helpful... best wishes ever ❤️,excellent perapaftermanicee and very helpappul... best wishes ever ❤️,excellent perapaftermanicee and very helpappul... best wishes ever  red_heart ,en,0.58,excellent perapaftermanicee and very helpappul... best wishes ever  red_heart ,excellent perapaftermanicee and very helpappul.. best wishes ever red_heart,excellent perapaftermanice and very helpappul.. best wishes ever red_heart
b7745d87-68ba-470c-8bf8-f6c00a679392,djsumon,djsumon,djsumon,en,0.215,djsumon,djsumon,djsumon
5bcf2b0e-1544-4b16-bdcd-43deee324bec,ভালো,good,good,en,0.895,good,good,good
f61b74e1-8eb0-405f-9f84-24672f4dd49a,shagorahamedrobin,shagooddorahamedrobin,shagooddorahamedrobin,en,0.459,shagooddorahamedrobin,shagooddorahamedrobin,shagooddorahamedrobin
568458ad-0bed-4d38-a8f9-ccca5010511c,ok,ok,ok,en,0.898,ok,ok,ok
683abb6a-d349-4474-95cf-dfed63802efd,nice,nice,nice,en,0.839,nice,nice,nice
3e505c8e-e0d6-4c59-a44a-5f0e3174c080,ok,ok,ok,en,0.898,ok,ok,ok
3390f6fa-f60a-4fee-abcf-a065001ac5a9,ভালো,good,good,en,0.895,good,good,good
b155d1bf-6c47-422e-a76d-3dc5e79d0d13,❤️❤️❤️,❤️❤️❤️, red_heart  red_heart  red_heart ,en,0.377, red_heart  red_heart  red_heart ,red_heart red_heart red_heart,red_heart red_heart red_heart
44e19cf6-60df-4b26-8786-74d0fafad7e1,thank you.,thank you.,thank you.,en,0.993,thank you.,thank you.,thank you.
8df998da-ca91-40b2-87f2-c5e5da1eec82,khub e bhalo,very e gooddood,very e gooddood,en,0.937,very e gooddood,very e gooddood,very e gooddood
9a70ebda-40a6-4085-8077-847df2ef66d5,💘,💘, heart_with_arrow ,en,0.489, heart_with_arrow ,heart_with_arrow,heart_with_arrow
