review_id,original_text,pre_translated_text,emoji_converted,detected_lang,confidence,translated_text,cleaned_text,post_translated
12e1f9e5-80a1-4721-b85e-9cf6d583d521,ok ok,ok ok,ok ok,en,0.916,ok ok,ok ok,ok ok
ca212978-65d8-4da2-b3bf-bf9a4725378f,mdmilon,mdmyloan,mdmyloan,en,0.943,mdmyloan,mdmyloan,mdmyloan
c359ea93-1703-448f-b1ea-26716f4f1e04,nice app,nice appp,nice appp,en,0.785,nice appp,nice app,nice app
82740e7d-6c49-478c-a133-fc4cc9e39fe5,nice app,nice appp,nice appp,en,0.785,nice appp,nice app,nice app
d7409937-9690-4909-9e7b-621955561360,ভালো,good,good,en,0.895,good,good,good
1b6d5047-5754-400f-af64-99fce4451d9c,it's my android phone,it's my android phone,it's my android phone,en,0.95,it's my android phone,it's my android phone,it's my android phone
114a01cf-3cf6-43dc-b5c7-e24987d15930,bulbul,bulbul,bulbul,en,0.45,bulbul,bulbul,bulbul
160c35af-63e3-4a26-8fd5-309588373a6f,nice,nice,nice,en,0.839,nice,nice,nice
d98c1076-fc49-45a8-a50a-d30330747c98,nice app,nice appp,nice appp,en,0.785,nice appp,nice app,nice app
c44edd84-d38d-4f35-a569-3f4aba65eb2c,babul bd,babul bd,babul bd,en,0.199,babul bd,babul bd,babul bd
5e040a39-e4d2-4c6d-8b29-08392e53ee52,ভালো,good,good,en,0.895,good,good,good
75884e8b-76ef-4966-91eb-de1cbf5a1cdd,jaman faccb0k,jaman appaccb0k,jaman appaccb0k,en,0.721,jaman appaccb0k,jaman appaccb0k,jaman appaccb0k
43993948-2d9a-4464-b971-5129628c9d58,md mahadi,md mahadi,md mahadi,en,0.501,md mahadi,md mahadi,md mahadi
dc8b6008-3300-444e-acf2-c86fe9decece,excellent ❤️,excellent ❤️,excellent  red_heart ,en,0.646,excellent  red_heart ,excellent red_heart,excellent red_heart
fcdf5cf6-6abd-4447-9abb-ad04f8c381c4,mr shanto ok,mr shanto ok,mr shanto ok,en,0.767,mr shanto ok,mr shanto ok,mr shanto ok
b22b251c-fcbb-4442-8220-9113e867f88c,ভালো,good,good,en,0.895,good,good,good
4076856a-08d5-4fc3-8819-12619969b5f6,খুব ভালো,খুব good,খুব good,en,0.614,খুব good,good,good
a7d65ec2-8341-44fe-9f16-1fc2b80a3e37,wallow,wallow,wallow,en,0.641,wallow,wallow,wallow
664e7234-c4f1-4300-b415-81c88804d7b3,i me nogad apps youse me in injoy,i me nogooddad appps youse me in injoy,i me nogooddad appps youse me in injoy,en,0.521,i me nogooddad appps youse me in injoy,i me nogooddad apps youse me in injoy,i me nogooddad apps youse me in injoy
e25d7756-d6da-416c-919f-ca6fc79c4cc9,nice,nice,nice,en,0.839,nice,nice,nice
90514bd7-9721-4006-b356-e8d9bb4b2dcc,nice,nice,nice,en,0.839,nice,nice,nice
e6985a9a-a8da-460e-bc4f-7f86b18847ac,good app,gooddood appp,gooddood appp,en,0.266,gooddood appp,gooddood app,gooddood app
79361600-36af-4799-81b6-cfa1be33b7bd,nice,nice,nice,en,0.839,nice,nice,nice
3bee5388-5263-4dc9-93e0-5e3210063ac2,খুব ভালো 🥰,খুব good 🥰,খুব good  smiling_face_with_hearts ,en,0.611,খুব good  smiling_face_with_hearts ,good smiling_face_with_hearts,good smiling_face_with_hearts
22d4309b-efbf-4fa2-9175-2a7664c03bd5,nice,nice,nice,en,0.839,nice,nice,nice
7f2d5d65-52f8-4a6f-890b-8037018eca59,ভালো,good,good,en,0.895,good,good,good
8587c25d-168d-4d9c-abb3-7605265557ec,ভালো,good,good,en,0.895,good,good,good
aa198e26-7400-4236-b2d2-c13e1cf5eae1,valo,good,good,en,0.895,good,good,good
d244a799-f001-4b25-8230-d98c69cbea0e,নাইছ,nice,nice,en,0.839,nice,nice,nice
f919168d-327e-4b3a-b2bc-d6bb50509779,good apps,gooddood appps,gooddood appps,en,0.304,gooddood appps,gooddood apps,gooddood apps
06c4bbd3-ac30-43f2-bb6f-9ad747e175d1,ভালো,good,good,en,0.895,good,good,good
a4bf9fb8-d2f2-434a-8dc0-343b76bcf1ff,খুব ভালো,খুব good,খুব good,en,0.614,খুব good,good,good
b5c2b6fa-2178-4b6d-8771-3932fd9ce8db,khan osi 7000,khan osi 7000,khan osi 7000,en,0.301,khan osi 7000,khan osi 700,khan osi 700
797601d4-9f79-4966-a334-4eb3f6877245,good service 👍,gooddood serbrotherce 👍,gooddood serbrotherce  thumbs_up ,en,0.285,gooddood serbrotherce  thumbs_up ,gooddood serbrotherce thumbs_up,gooddood serbrotherce thumbs_up
6c6d9118-a6b2-4e07-899f-179a03312b44,nagad verion 5.5,no/notgooddad veryon 5.5,no/notgooddad veryon 5.5,en,0.18,no/notgooddad veryon 5.5,nonotgooddad veryon 5.5,nonotgooddad veryon 5.5
8b56f619-aa49-40c9-b212-ed2f8a14ab77,ভালো ❤️❤️❤️,good ❤️❤️❤️,good  red_heart  red_heart  red_heart ,en,0.484,good  red_heart  red_heart  red_heart ,good red_heart red_heart red_heart,good red_heart red_heart red_heart
2966a846-2b01-4a31-8ce6-ca20ac8f46cf,good morning 🌞🌞🌞,gooddood morningoodd 🌞🌞🌞,gooddood morningoodd  sun_with_face  sun_with_face  sun_with_face ,en,0.782,gooddood morningoodd  sun_with_face  sun_with_face  sun_with_face ,gooddood morningoodd sun_with_face sun_with_face sun_with_face,gooddood morningoodd sun_with_face sun_with_face sun_with_face
834cc1f1-8312-472c-9000-a89504b3b2ae,welcome,welcome,welcome,en,0.119,welcome,welcome,welcome
7fc83626-c9d5-4d4a-b4e7-2286eb3c211c,খুব ভালো,খুব good,খুব good,en,0.614,খুব good,good,good
4ff42835-b804-454c-babb-37ebbd5007c6,খুব ভালো,খুব good,খুব good,en,0.614,খুব good,good,good
0b67dbad-bab5-4eb9-9a62-3fe22ebc3e97,nice,nice,nice,en,0.839,nice,nice,nice
a0582bb6-9392-4866-9131-de801bd71df9,nice,nice,nice,en,0.839,nice,nice,nice
5ca6dba2-656d-48a8-b06d-9b15e3300be6,good app,gooddood appp,gooddood appp,en,0.266,gooddood appp,gooddood app,gooddood app
f775be6a-ced6-4858-a33e-057724c59585,good 😊,gooddood 😊,gooddood  smiling_face_with_smiling_eyes ,en,0.246,gooddood  smiling_face_with_smiling_eyes ,gooddood smiling_face_with_smiling_eyes,gooddood smiling_face_with_smiling_eyes
1c8757dc-89c4-4528-925d-92a5f03af3ec,ভালো,good,good,en,0.895,good,good,good
4f4fc00b-70f9-4497-806c-e804aaadc546,ok,ok,ok,en,0.898,ok,ok,ok
b2858e10-bb30-4917-8d19-a50914114bc2,খুব ভালো,খুব good,খুব good,en,0.614,খুব good,good,good
c351b1f4-24b5-437f-9a85-530a77f9c388,i like its,i like its,i like its,en,1.0,i like its,i like its,i like its
5ed956f2-8a99-48bf-8277-40da1e5df3dd,variy nice apps,variy nice appps,variy nice appps,en,0.526,variy nice appps,variy nice apps,variy nice apps
5b62d411-3c9a-4e23-81bd-5defb8c515bb,ভালো খুব ভালো,good খুব good,good খুব good,en,0.782,good খুব good,good good,good good
3a3e3cfd-c0b9-4909-b99a-99817a98e6b7,ভালো,good,good,en,0.895,good,good,good
6152d9ed-3e3a-4830-89d8-9ab3b1d3b0da,nice,nice,nice,en,0.839,nice,nice,nice
ccfb1e7d-b5e7-45f6-9e4b-e70c4697a8a7,💓💓,💓💓, beating_heart  beating_heart ,en,0.728, beating_heart  beating_heart ,beating_heart beating_heart,beating_heart beating_heart
0d108f86-6555-44dc-af70-7787a4bbde35,very good application,very gooddood appplication,very gooddood appplication,en,0.893,very gooddood appplication,very gooddood application,very gooddood application
088085f0-a361-4c24-a96d-3ba4c5ddb4ff,ভালো,good,good,en,0.895,good,good,good
d3e02a2d-8249-437d-91bc-f7da91776c08,good app,gooddood appp,gooddood appp,en,0.266,gooddood appp,gooddood app,gooddood app
b17c9a54-767a-47e3-80a7-e40958127845,ভালো,good,good,en,0.895,good,good,good
2dda6c86-540a-4161-a3d7-5e74114ae9ac,valo,good,good,en,0.895,good,good,good
e8e8c2fd-80a5-4aa2-a5f5-30a178f9d224,নাইস,nice,nice,en,0.839,nice,nice,nice
d2d57047-8207-4bc5-8ad8-ba55b0aabc85,nice,nice,nice,en,0.839,nice,nice,nice
3bc3076a-c62e-439f-83f0-8bbb811ce0fa,my nogot accounts not other device hack,my nogooddot accounts not other debrotherce hack,my nogooddot accounts not other debrotherce hack,en,0.347,my nogooddot accounts not other debrotherce hack,my nogooddot accounts not other debrotherce hack,my nogooddot accounts not other debrotherce hack
5938b9f2-de97-460d-94d7-877a19285148,nice,nice,nice,en,0.839,nice,nice,nice
a98eca8c-ed14-4ef0-a7cf-43369c160a27,❤️❤️❤️,❤️❤️❤️, red_heart  red_heart  red_heart ,en,0.377, red_heart  red_heart  red_heart ,red_heart red_heart red_heart,red_heart red_heart red_heart
3e6bd00e-2a21-4cb9-a28b-777c185a9fa3,nice 👍,nice 👍,nice  thumbs_up ,en,0.859,nice  thumbs_up ,nice thumbs_up,nice thumbs_up
bdf7ae2c-dead-49cc-a976-65dac1fe4ab8,ভালো,good,good,en,0.895,good,good,good
b44874db-7cf6-4ddb-94bb-1bb2615a0f08,খুব ভালো,খুব good,খুব good,en,0.614,খুব good,good,good
3b44eef8-9c6e-4f84-8fcd-b2ffa31ef055,নাইস,nice,nice,en,0.839,nice,nice,nice
43e6ce1a-fd3d-4cca-98ae-4d4723aba4ad,ভালো ✅,good ✅,good  check_mark_button ,en,0.416,good  check_mark_button ,good check_mark_button,good check_mark_button
3b3b2f7a-c4f0-4899-9e03-f45f668a3d8e,nice apps,nice appps,nice appps,en,0.78,nice appps,nice apps,nice apps
