review_id,original_text,pre_translated_text,emoji_converted,detected_lang,confidence,translated_text,cleaned_text,post_translated
985146a8-dbd2-486e-91f5-fd276c59d7d9,ok,ok,ok,en,0.898,ok,ok,ok
b36a49d0-c2e5-4752-8007-f396cd5f2cad,ভালো,good,good,en,0.895,good,good,good
0b35608e-3122-475b-85a3-9d44602fdecf,খুব ভালো,খুব good,খুব good,en,0.614,খুব good,good,good
58dfc97f-195e-4fab-b5a2-3998ba7f93a5,all ok but need skitto recharge.,all ok but need skitto rechargoodde.,all ok but need skitto rechargoodde.,en,0.892,all ok but need skitto rechargoodde.,all ok but need skitto rechargoodde.,all ok but need skitto rechargoodde.
5783853d-2e89-46e4-8a66-c94a89bf5aa8,nice app,nice appp,nice appp,en,0.785,nice appp,nice app,nice app
1ba7f830-f642-4c1f-b48e-c5e63e19208d,good apps,gooddood appps,gooddood appps,en,0.304,gooddood appps,gooddood apps,gooddood apps
53e58a88-a78f-470b-8d1a-afef43d2f236,ভালো,good,good,en,0.895,good,good,good
231da4fb-2b3e-480f-bd4d-0dc1f84a46f9,ভালো,good,good,en,0.895,good,good,good
e05b39fd-9ce0-45fd-a8f6-f525f0c9eeb0,নাইচ,nice,nice,en,0.839,nice,nice,nice
8fd610d0-0f59-410f-a574-4a793e5fc130,fine,appine,appine,en,0.647,appine,appine,appine
22652882-2a33-4765-b5d0-e02180344d6d,ভালো,good,good,en,0.895,good,good,good
3de57973-16b9-4f48-9d5a-299666c5b488,no thanks,no thanks,no thanks,en,0.832,no thanks,no thanks,no thanks
d8a52a10-89dd-4847-a3c0-842d15f13ace,ok,ok,ok,en,0.898,ok,ok,ok
4513ec61-389a-435d-af29-f378061ff49c,nice,nice,nice,en,0.839,nice,nice,nice
f3fedf7c-0fc4-481e-b805-98ad256b4e11,good app 💯,gooddood appp 💯,gooddood appp  hundred_points ,en,0.294,gooddood appp  hundred_points ,gooddood app hundred_points,gooddood app hundred_points
7b25fd21-d5fe-47f3-a1e0-ab302cc9bcff,very good 💯😊,very gooddood 💯😊,very gooddood  hundred_points  smiling_face_with_smiling_eyes ,en,0.512,very gooddood  hundred_points  smiling_face_with_smiling_eyes ,very gooddood hundred_points smiling_face_with_smiling_eyes,very gooddood hundred_points smiling_face_with_smiling_eyes
0394b8f0-d224-4267-bbf3-8cd4270c05bf,great apps,gooddreat appps,gooddreat appps,en,0.8,gooddreat appps,gooddreat apps,gooddreat apps
71bf5916-42f3-47d5-8734-f8303452a5fa,good and necessary,gooddood and necessiry,gooddood and necessiry,en,0.287,gooddood and necessiry,gooddood and necessiry,gooddood and necessiry
6fa2b6ac-cb8f-4e68-87e8-dc9a8377ed0b,darun,darun,darun,en,0.573,darun,darun,darun
7b2cdcfa-146d-45d8-bca0-b312e15b40b3,ভালো,good,good,en,0.895,good,good,good
